order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Ustilaginales,1513,1513,25.56675062972292,20.565552699228792,1622887.5,3.7302261375471526e-88,8.504915593607508e-88
Valsariales,120,120,31.552185548617306,19.269300826677878,12500.0,6.552215993845953e-23,8.178313393778525e-23
Venturiales,2053,2053,31.159420289855078,18.823529411764707,3793303.0,0.0,0.0
Verrucariales,164,164,31.437070770134785,19.287677023885017,22209.0,1.9457964779010924e-24,2.464675538674717e-24
Vezdaeales,166,166,31.433993632271523,19.5815759202454,25282.5,1.580972627153865e-39,2.3924453030381496e-39
Violaceomycetales,47,47,29.25,19.76047904191617,1849.0,1.8437862506292376e-08,1.934278827347237e-08
Wallemiales,53,53,21.7283950617284,19.009100101112235,1769.0,0.021448968273186705,0.02209502153442727
Xylariales,37218,37218,29.097297929870596,18.88888888888889,1212387400.5,0.0,0.0
Xylobotryales,156,156,31.16782989774387,19.684217031269313,21383.5,6.114936333882912e-31,8.365232904751824e-31
Xylonales,68,68,33.817605360320414,20.275594108611187,4094.0,8.927489165848475e-15,1.0245641928591203e-14
Zoopagales,983,983,24.80314960629921,17.928286852589643,715742.0,2.9054142289213296e-76,6.058851623726187e-76
